date,ct1_close,ct2_close,ct3_close,atm_iv_30d,ct1_ct2_spread,ct2_ct3_spread,si_carry_approx,pct_si_approx,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,pct_si_zscore_1yr,ct1_ct2_zscore
2023-02-10,85.27,85.58,86.07,28.8,-0.31,-0.49,1.7319,17.9,28.6929,34.3103,1.0037,,,0.7885,-0.7307
2023-02-13,85.64,85.79,86.22,27.83,-0.15,-0.43,1.7351,8.65,28.6011,33.3098,0.973,,,0.7568,-0.7061
2023-02-14,85.4,85.7,86.16,28.21,-0.3,-0.46,1.733,17.31,28.5305,33.3079,0.9888,,,0.7819,-0.7252
2023-02-15,82.55,82.87,83.6,30.64,-0.32,-0.73,1.7086,18.73,30.2484,33.8618,1.0129,,,0.784,-0.726
2023-02-16,81.25,82.0,82.76,31.25,-0.75,-0.76,1.6974,44.19,29.0173,33.726,1.0769,,,0.8618,-0.7842
2023-02-17,80.25,81.5,82.35,30.7,-1.25,-0.85,1.6888,74.02,28.1664,32.3515,1.09,,,0.9524,-0.8515
2023-02-21,80.92,81.53,82.37,31.23,-0.61,-0.84,1.6946,36.0,25.9664,31.9729,1.2027,,,0.8293,-0.7591
2023-02-22,82.25,81.88,82.52,31.27,0.37,-0.64,1.706,-21.69,26.3997,32.1047,1.1845,,,0.6459,-0.6202
2023-02-23,82.41,82.16,82.63,29.96,0.25,-0.47,1.7074,-14.64,26.0014,31.4446,1.1522,,,0.6677,-0.6367
2023-02-24,85.13,84.9,85.08,29.64,0.23,-0.18,1.7307,-13.29,27.6883,31.9825,1.0705,,,0.6712,-0.6388
2023-02-27,85.0,84.8,85.07,29.14,0.2,-0.27,1.7296,-11.56,26.4871,31.8046,1.1002,,,0.6742,-0.6407
2023-02-28,84.19,84.03,84.46,28.08,0.16,-0.43,1.7226,-9.29,26.6619,29.9311,1.0532,,,0.6787,-0.644
2023-03-01,85.66,86.01,85.27,28.84,-0.35,0.74,1.7352,20.17,27.0468,30.0087,1.0663,,,0.7683,-0.7127
2023-03-02,83.71,84.41,83.75,28.85,-0.7,0.66,1.7185,40.73,27.0447,30.112,1.0668,,,0.8293,-0.7586
2023-03-03,84.17,84.79,84.26,28.75,-0.62,0.53,1.7225,35.99,26.6363,30.0893,1.0794,,,0.8108,-0.7443
2023-03-06,84.71,85.44,85.14,28.84,-0.73,0.3,1.7271,42.27,24.0847,30.0652,1.1974,,,0.8264,-0.7563
2023-03-07,82.77,83.58,83.53,29.18,-0.81,0.05,1.7104,47.36,24.7845,29.6606,1.1773,,,0.8386,-0.7643
2023-03-08,82.62,83.25,83.21,27.86,-0.63,0.04,1.7092,36.86,24.5464,29.5542,1.135,,,0.8016,-0.7357
2023-03-09,82.18,82.89,83.07,27.52,-0.71,-0.18,1.7054,41.63,24.4973,29.5766,1.1234,,,0.8122,-0.7432
2023-03-10,78.18,78.94,80.25,30.01,-0.76,-1.31,1.671,45.48,27.9251,31.0635,1.0747,,,0.8199,-0.7466
2023-03-13,81.18,81.65,82.26,33.41,-0.47,-0.61,1.6968,27.7,30.3665,31.5052,1.1002,,,0.7609,-0.7032
2023-03-14,81.37,81.93,82.66,31.01,-0.56,-0.73,1.6984,32.97,29.875,31.5024,1.038,,,0.7734,-0.7123
2023-03-15,79.11,79.81,80.95,33.33,-0.7,-1.14,1.679,41.69,30.5117,32.0176,1.0924,,,0.7968,-0.7286
2023-03-16,79.16,79.7,80.63,32.55,-0.54,-0.93,1.6795,32.15,30.5008,31.9315,1.0672,,,0.7637,-0.7035
2023-03-17,77.83,78.44,79.51,32.33,-0.61,-1.07,1.668,36.57,30.5669,31.6156,1.0577,,,0.7738,-0.7101
2023-03-20,77.22,77.7,78.81,34.22,-0.48,-1.11,1.6628,28.87,30.5095,30.2137,1.1216,,,0.7465,-0.6891
2023-03-21,77.85,78.45,79.54,33.48,-0.6,-1.09,1.6682,35.97,29.9338,30.2498,1.1185,,,0.7649,-0.7026
2023-03-22,78.28,78.89,79.81,31.55,-0.61,-0.92,1.6719,36.49,28.6459,28.8434,1.1014,,,0.7629,-0.7009
2023-03-23,77.58,78.19,79.26,30.53,-0.61,-1.07,1.6659,36.62,28.6985,28.7768,1.0638,,,0.7599,-0.6978
2023-03-24,76.54,77.17,78.4,30.88,-0.63,-1.23,1.657,38.02,28.8141,28.8099,1.0717,,,0.7607,-0.6975
2023-03-27,79.52,79.99,80.75,31.51,-0.47,-0.76,1.6825,27.93,31.2694,29.8582,1.0077,,,0.7264,-0.6727
2023-03-28,82.52,82.97,83.28,31.19,-0.45,-0.31,1.7083,26.34,33.2482,30.8091,0.9381,,,0.7185,-0.6672
2023-03-29,82.76,83.2,83.25,29.58,-0.44,-0.05,1.7104,25.72,33.2659,30.7607,0.8892,,,0.7135,-0.663
2023-03-30,83.5,83.87,83.88,30.74,-0.37,-0.01,1.7167,21.55,31.8728,30.8108,0.9645,,,0.6978,-0.6507
2023-03-31,82.78,83.1,83.42,29.17,-0.32,-0.32,1.7105,18.71,31.6207,30.0896,0.9225,,,0.6862,-0.6411
2023-04-03,82.38,82.64,82.92,30.42,-0.26,-0.28,1.7071,15.23,31.4261,29.623,0.968,,,0.6727,-0.6303
2023-04-04,81.05,81.38,81.74,30.12,-0.33,-0.36,1.6957,19.46,31.7269,28.7861,0.9494,,,0.6827,-0.6373
2023-04-05,81.07,81.29,81.62,28.85,-0.22,-0.33,1.6959,12.97,31.3514,28.7481,0.9202,,,0.6601,-0.6196
2023-04-06,83.2,83.47,83.24,29.87,-0.27,0.23,1.7141,15.75,32.2702,29.0719,0.9256,,,0.6659,-0.6239
2023-04-10,82.45,82.73,82.63,34.99,-0.28,0.1,1.7077,16.4,30.8895,29.1048,1.1327,,,0.6654,-0.623
2023-04-11,82.75,82.91,82.9,34.79,-0.16,0.01,1.7103,9.36,30.919,28.5918,1.1252,,,0.6424,-0.6052
2023-04-12,82.45,82.39,82.43,33.99,0.06,-0.04,1.7077,-3.51,30.8218,28.5956,1.1028,,,0.6022,-0.5743
