date,kc1_close,kc2_close,kc3_close,atm_iv_30d,kc1_kc2_spread,kc2_kc3_spread,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,kc1_kc2_zscore
2025-02-21,317.05,301.3,286.75,36.05,15.75,14.55,33.51,34.37,1.0758,,,
2025-02-24,313.75,297.6,282.75,35.8,16.15,14.85,33.84,34.48,1.0579,,,
2025-02-25,307.15,290.6,275.4,35.04,16.55,15.2,34.75,34.66,1.0083,,,
2025-02-26,305.4,288.7,273.9,32.12,16.7,14.8,34.79,33.71,0.9233,,,
2025-02-27,305.35,288.4,273.05,31.7,16.95,15.35,34.24,33.53,0.9258,,,
2025-02-28,305.45,288.2,273.3,31.73,17.25,14.9,34.0,30.58,0.9332,,,
2025-03-03,317.8,300.0,284.25,32.55,17.8,15.75,35.1,31.46,0.9274,,,
2025-03-04,324.55,306.5,290.6,33.1,18.05,15.9,35.36,31.4,0.9361,,,
2025-03-05,335.85,316.95,299.65,34.14,18.9,17.3,36.17,31.7,0.9439,,,
2025-03-06,315.2,296.65,279.8,33.79,18.55,16.85,40.74,34.16,0.8294,,,
2025-03-07,312.3,293.45,276.8,33.62,18.85,16.65,40.92,34.23,0.8216,,,
2025-03-10,313.15,294.35,277.5,33.73,18.8,16.85,40.92,34.23,0.8243,,,
2025-03-11,321.85,302.8,286.1,34.23,19.05,16.7,41.48,33.62,0.8252,,,
2025-03-12,316.25,297.4,281.3,34.37,18.85,16.1,41.81,33.89,0.8221,,,
2025-03-13,319.0,300.4,284.3,34.57,18.6,16.1,41.6,33.68,0.831,,,
2025-03-14,314.95,297.45,282.9,34.54,17.5,14.55,41.58,33.75,0.8307,,,
2025-03-17,321.6,304.15,290.15,34.16,17.45,14.0,41.92,33.88,0.8149,,,
2025-03-18,322.95,305.5,291.6,34.46,17.45,13.9,41.91,33.87,0.8222,,,
2025-03-19,328.45,310.6,296.75,34.88,17.85,13.85,42.1,33.18,0.8285,,,
2025-03-20,327.95,309.45,296.1,34.75,18.5,13.35,41.96,33.19,0.8282,,,
2025-03-21,328.95,310.45,297.0,34.76,18.5,13.45,40.7,33.18,0.8541,,,
2025-03-24,331.4,312.6,299.2,35.39,18.8,13.4,40.72,33.13,0.8691,,,
2025-03-25,338.6,319.45,305.6,34.64,19.15,13.85,36.43,33.3,0.9509,,,
2025-03-26,334.6,315.65,301.05,35.06,18.95,14.6,34.44,33.46,1.018,,,
2025-03-27,327.55,308.85,294.1,34.7,18.7,14.75,34.09,33.83,1.0179,,,
2025-03-28,330.9,312.5,297.8,34.0,18.4,14.7,33.23,33.81,1.0232,,,
2025-03-31,330.2,312.95,299.4,33.96,17.25,13.55,33.09,33.47,1.0263,,,
2025-04-01,339.6,322.35,307.9,33.96,17.25,14.45,33.94,32.87,1.0006,,,
2025-04-02,341.15,323.8,309.1,34.09,17.35,14.7,33.6,32.87,1.0146,,,
2025-04-03,337.55,320.55,306.1,34.74,17.0,14.45,32.29,33.01,1.0759,,,
2025-04-04,320.25,303.45,289.5,35.06,16.8,13.95,35.92,34.78,0.9761,,,
2025-04-07,304.65,289.1,276.15,35.03,15.55,12.95,38.67,36.46,0.9059,,,
2025-04-08,306.1,292.0,280.8,35.18,14.1,11.2,38.22,36.46,0.9205,,,
2025-04-09,309.2,296.2,285.55,35.88,13.0,10.65,38.29,36.41,0.9371,,,
2025-04-10,309.95,296.6,285.85,35.7,13.35,10.75,38.3,36.2,0.9321,,,
2025-04-11,317.05,302.85,291.55,35.93,14.2,11.3,38.83,36.27,0.9253,,,
2025-04-14,320.8,306.05,294.85,35.92,14.75,11.2,37.24,36.18,0.9646,,,
2025-04-15,328.2,313.05,300.6,35.52,15.15,12.45,37.33,36.4,0.9515,,,
2025-04-16,333.25,317.8,304.85,35.19,15.45,12.95,36.23,36.47,0.9713,,,
2025-04-17,332.0,317.35,304.75,35.75,14.65,12.6,30.92,35.93,1.1562,,,
2025-04-21,325.9,311.4,298.45,35.84,14.5,12.95,31.32,36.18,1.1443,,,
2025-04-22,333.8,319.25,306.5,35.54,14.55,12.75,32.0,36.45,1.1106,,,
2025-04-23,343.3,328.15,315.6,35.7,15.15,12.55,32.04,36.8,1.1142,,,
2025-04-24,352.85,336.6,323.5,35.74,16.25,13.1,32.29,37.04,1.1068,,,
2025-04-25,354.4,337.35,323.4,36.0,17.05,13.95,32.26,36.91,1.1159,,,
2025-04-28,362.15,344.85,330.4,36.14,17.3,14.45,32.29,36.96,1.1192,,,
2025-04-29,352.1,334.45,319.65,36.27,17.65,14.8,33.26,37.51,1.0905,,,
